   1      8   moveoutbox    2   channel     1   process 2    boxwidth 2    channelwidth 2   |   -   | 10   0| 16   1| 12   2| 12   2|  7   2|  7   2|  2   2|
 404    888   moveoutbox   16   channel    95   process 6    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |  6   1|  1   1| 20   0| 10   0|
 405    888   getbox   13   shiftbox    13    channelwidth 4    putbox13  channel33         |   -   | 13   3| 19   4| 19   4| 14   4| 15   0|  0   0| 17   2|
 309    896   moveinbox    4   channel     8   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4| 14   4|  4   4| 10   0|  0   0| 12   2| 13   3|
 338    896   moveoutbox   11   channel     5   process 1    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |  6   1|  1   1| 10   0| 16   1| 11   1|
 347    896   moveoutbox   15   channel    54   process 5    boxwidth 0    channelwidth 5   |   -   |   -   |   -   | 17   2| 18   3| 19   4| 14   4|  9   4|
 351    896   moveoutbox   19   channel    19   process 9    boxwidth 4    channelwidth 5   |   -   |   -   |   -   |  9   4| 10   0|  0   0| 12   2| 13   3|
 358    896   moveinbox   19   channel    53   process 1   boxwidth 4    channelwidth 4   |   -   |   -   | 19   4| 17   2| 18   3| 19   4| 14   4|  9   4|
 374    896   moveoutbox   14   channel    38   process 4    boxwidth 4    channelwidth 4   |   -   |  9   4| 19   4| 15   0|  0   0| 17   2| 13   3| 19   4|
 378    896   moveoutbox   12   channel     8   process 2    boxwidth 2    channelwidth 4   |   -   |   -   | 13   3|  4   4| 14   4|  4   4| 10   0|  0   0|
 391    896   moveinbox   12   channel    91   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   | 12   2|  7   2|  2   2| 20   0|
 406    896   moveoutbox   17   channel    33   process 7    boxwidth 2    channelwidth 4   |   -   |   -   | 13   3| 19   4| 19   4| 14   4| 15   0|  0   0|
 339    904   moveoutbox   11   channel     5   process 1    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |  6   1|  1   1| 10   0| 16   1|
 348    904   getbox    0   shiftbox     0    channelwidth 5    putbox 0  channel29         |   -   |  0   0|  4   4| 13   3| 19   4| 14   4|  9   4| 15   0|
 352    904   getbox   14   shiftbox    14    channelwidth 4    putbox14  channel33         |   -   |   -   | 14   4| 15   0|  0   0| 17   2| 13   3| 19   4|
 359    904   moveinbox   19   channel    54   process 1   boxwidth 4    channelwidth 5   |   -   |   -   | 19   4| 17   2| 18   3| 19   4| 14   4|  9   4|
 375    904   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel24         |  9   4| 19   4|  4   4|  0   0| 17   2| 13   3| 19   4| 14   4|
 379    904   getbox   13   shiftbox    13    channelwidth 5    putbox13  channel 9         |   -   | 13   3| 14   4|  9   4|  4   4| 10   0|  0   0| 12   2|
 392    904   moveinbox   12   channel    96   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2|  7   2|  7   2|  2   2| 20   0|
 340    912   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel10         |   -   |  1   1| 10   0|  0   0| 11   1| 11   1|  6   1|  6   1|
 349    912   moveoutbox   15   channel    29   process 5    boxwidth 0    channelwidth 5   |   -   |   -   |  0   0|  4   4| 13   3| 19   4| 14   4|  9   4|
 353    912   moveoutbox   19   channel    33   process 9    boxwidth 4    channelwidth 4   |   -   |   -   |   -   | 14   4| 15   0|  0   0| 17   2| 13   3|
 360    912   moveinbox   19   channel    19   process 1   boxwidth 4    channelwidth 5   |   -   |   -   | 19   4|  9   4| 10   0|  0   0| 12   2| 13   3|
 376    912   moveoutbox   14   channel    24   process 4    boxwidth 4    channelwidth 5   |   -   |  9   4| 19   4|  4   4|  0   0| 17   2| 13   3| 19   4|
 380    912   moveoutbox   12   channel     9   process 2    boxwidth 2    channelwidth 5   |   -   |   -   | 13   3| 14   4|  9   4|  4   4| 10   0|  0   0|
 393    912   moveinbox   12   channel    16   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2|  7   2|  2   2| 10   0|  0   0|
 341    920   getbox    6   shiftbox     6    channelwidth 1    putbox 6  channel10         |   -   |  6   1|  1   1| 10   0|  0   0| 11   1| 11   1|  6   1|
 354    920   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel34         |   -   |  9   4| 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|
 361    920   moveinbox   19   channel    33   process 1   boxwidth 4    channelwidth 4   |   -   |   -   | 19   4| 14   4| 15   0|  0   0| 17   2| 13   3|
 381    920   getbox   13   shiftbox    13    channelwidth 4    putbox13  channel13         |   -   | 13   3| 14   4|  9   4|  4   4| 10   0|  0   0| 12   2|
 394    920   moveinbox   12   channel     1   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2| 12   2|  7   2|  2   2| 16   1|
 342    928   getbox    6   shiftbox     6    channelwidth 1    putbox 6  channel10         |   -   |  6   1|  6   1|  1   1| 10   0|  0   0| 11   1| 11   1|
 355    928   getbox   14   shiftbox    14    channelwidth 5    putbox14  channel34         |   -   | 14   4|  9   4| 15   0|  0   0| 17   2| 13   3| 19   4|
 362    928   moveinbox   19   channel    88   process 1   boxwidth 4    channelwidth 4   |   -   | 19   4| 19   4|  9   4|  4   4| 20   0| 10   0| 16   1|
 382    928   moveoutbox   12   channel    13   process 2    boxwidth 2    channelwidth 4   |   -   |   -   | 13   3| 14   4|  9   4|  4   4| 10   0|  0   0|
 395    928   moveinbox   12   channel    91   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2| 12   2|  7   2|  2   2| 20   0|
 343    936   moveoutbox   11   channel    10   process 1    boxwidth 1    channelwidth 1   |   -   |   -   |  6   1|  6   1|  1   1| 10   0|  0   0| 11   1|
 356    936   moveoutbox   19   channel    34   process 9    boxwidth 4    channelwidth 5   |   -   |   -   | 14   4|  9   4| 15   0|  0   0| 17   2| 13   3|
 363    936   moveinbox   19   channel    53   process 1   boxwidth 4    channelwidth 4   |   -   | 19   4| 19   4| 17   2| 18   3| 19   4| 14   4|  9   4|
 383    936   getbox   13   shiftbox    13    channelwidth 5    putbox13  channel14         |   -   | 13   3| 14   4|  9   4|  4   4| 10   0|  0   0| 12   2|
 396    936   moveinbox   12   channel     6   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2| 12   2|  7   2|  7   2|  2   2|
 364    944   moveinbox   19   channel    54   process 1   boxwidth 4    channelwidth 5   |   -   | 19   4| 19   4| 17   2| 18   3| 19   4| 14   4|  9   4|
 384    944   moveoutbox   12   channel    14   process 2    boxwidth 2    channelwidth 5   |   -   |   -   | 13   3| 14   4|  9   4|  4   4| 10   0|  0   0|
 397    944   moveinbox   12   channel    21   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2|  7   2|  2   2| 10   0|  0   0|
 365    952   moveinbox   19   channel    29   process 1   boxwidth 4    channelwidth 5   |   -   | 19   4|  0   0|  4   4| 13   3| 19   4| 14   4|  9   4|
 385    952   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel21         |   -   |   -   |  7   2|  2   2| 10   0|  0   0| 12   2| 12   2|
 398    952   moveinbox   12   channel    96   process 1   boxwidth 2    channelwidth 2   |   -   |   -   | 12   2| 12   2|  7   2|  7   2|  2   2| 20   0|
 366    960   moveinbox   19   channel    18   process 1   boxwidth 4    channelwidth 4   |   -   | 19   4|  9   4|  4   4| 10   0|  0   0| 12   2| 13   3|
 386    960   moveoutbox   12   channel    21   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  7   2|  2   2| 10   0|  0   0| 12   2|
 399    960   moveinbox   12   channel    16   process 1   boxwidth 2    channelwidth 2   |   -   |   -   | 12   2| 12   2|  7   2|  2   2| 10   0|  0   0|
 367    968   moveinbox   19   channel    19   process 1   boxwidth 4    channelwidth 5   |   -   | 19   4| 19   4|  9   4| 10   0|  0   0| 12   2| 13   3|
 387    968   moveoutbox   12   channel    21   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |  7   2|  2   2| 10   0|  0   0|
 400    968   moveinbox   12   channel     1   process 1   boxwidth 2    channelwidth 2   |   -   |   -   | 12   2| 12   2| 12   2|  7   2|  2   2| 16   1|
 368    976   moveinbox   19   channel    33   process 1   boxwidth 4    channelwidth 4   |   -   | 19   4| 19   4| 14   4| 15   0|  0   0| 17   2| 13   3|
 388    976   getbox   13   shiftbox    13    channelwidth 4    putbox13  channel18         |   -   | 13   3| 19   4|  9   4|  4   4| 10   0|  0   0| 12   2|
 401    976   moveinbox   12   channel    91   process 1   boxwidth 2    channelwidth 2   |   -   |   -   | 12   2| 12   2| 12   2|  7   2|  2   2| 20   0|
 369    984   moveinbox   19   channel    34   process 1   boxwidth 4    channelwidth 5   |   -   | 19   4| 14   4|  9   4| 15   0|  0   0| 17   2| 13   3|
 389    984   moveoutbox   12   channel    18   process 2    boxwidth 2    channelwidth 4   |   -   |   -   | 13   3| 19   4|  9   4|  4   4| 10   0|  0   0|
 402    984   moveinbox   12   channel    81   process 1   boxwidth 2    channelwidth 2   |   -   |   -   | 12   2| 12   2| 16   1|  7   2|  2   2|  2   2|
 370    992   moveinbox   19   channel    89   process 1   boxwidth 4    channelwidth 5   | 19   4|  9   4|  4   4| 20   0| 10   0| 16   1| 18   3| 13   3|
 403    992   moveinbox   12   channel     6   process 1   boxwidth 2    channelwidth 2   |   -   |   -   | 12   2| 12   2| 12   2|  7   2|  7   2|  2   2|
 371   1000   moveinbox   19   channel    38   process 1   boxwidth 4    channelwidth 4   | 19   4| 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
 407   1000   moveoutbox    1   channel    20   process 2    boxwidth 1    channelwidth 1   |   -   | 10   0|  0   0| 11   1| 11   1|  6   1|  6   1|  1   1|
 408   1000   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel15         |   -   |  1   1| 10   0|  0   0| 11   1| 11   1|  6   1|  6   1|
 410   1000   getbox    9   shiftbox     9    channelwidth 4    putbox 9  channel58         |   -   |  9   4| 15   0|  5   0| 17   2| 18   3| 19   4| 14   4|
 422   1000   moveoutbox    4   channel    74   process 5    boxwidth 4    channelwidth 5   |   -   | 20   0|  5   0| 16   1| 18   3| 19   4| 14   4|  9   4|
 431   1000   moveoutbox    8   channel     2   process 9    boxwidth 3    channelwidth 3   |   -   |   -   |   -   |  3   3| 10   0| 16   1| 18   3| 13   3|
 432   1000   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel26         |   -   |  2   2| 15   0|  0   0| 17   2| 12   2|  7   2|  7   2|
 434   1000   moveoutbox    2   channel    41   process 3    boxwidth 2    channelwidth 2   |   -   | 15   0|  0   0| 17   2| 12   2|  7   2|  7   2|  2   2|
 436   1000   moveoutbox    3   channel    67   process 4    boxwidth 3    channelwidth 3   |   -   | 20   0|  5   0| 17   2| 18   3|  8   3|  8   3|  3   3|
 372   1008   moveinbox   19   channel    24   process 1   boxwidth 4    channelwidth 5   | 19   4|  4   4|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
 409   1008   moveoutbox    6   channel    15   process 7    boxwidth 1    channelwidth 1   |   -   |   -   |  1   1| 10   0|  0   0| 11   1| 11   1|  6   1|
 411   1008   getbox   14   shiftbox    14    channelwidth 4    putbox14  channel58         |   -   | 14   4|  9   4| 15   0|  5   0| 17   2| 18   3| 19   4|
 423   1008   moveoutbox    4   channel    78   process 5    boxwidth 4    channelwidth 4   |   -   | 20   0|  5   0| 16   1| 18   3| 19   4| 14   4|  9   4|
 433   1008   moveoutbox    7   channel    26   process 8    boxwidth 2    channelwidth 2   |   -   |   -   |  2   2| 15   0|  0   0| 17   2| 12   2|  7   2|
 435   1008   moveoutbox    2   channel    51   process 3    boxwidth 2    channelwidth 2   |   -   | 15   0|  5   0| 17   2| 12   2|  7   2|  7   2|  2   2|
 437   1008   moveoutbox    3   channel    72   process 4    boxwidth 3    channelwidth 3   |   -   | 20   0|  5   0| 16   1| 18   3|  8   3|  8   3|  3   3|
 412   1016   getbox   19   shiftbox    19    channelwidth 4    putbox19  channel58         |   -   | 19   4| 14   4|  9   4| 15   0|  5   0| 17   2| 18   3|
 424   1016   moveoutbox    4   channel    79   process 5    boxwidth 4    channelwidth 5   |   -   | 20   0|  5   0| 16   1| 18   3| 19   4| 14   4|  9   4|
 438   1016   moveoutbox    3   channel    77   process 4    boxwidth 3    channelwidth 3   |   -   | 20   0|  5   0| 16   1| 18   3|  8   3|  8   3|  3   3|
 413   1024   getbox   18   shiftbox    18    channelwidth 4    putbox18  channel58         |   -   | 18   3| 19   4| 14   4|  9   4| 15   0|  5   0| 17   2|
 425   1024   moveoutbox    4   channel    83   process 5    boxwidth 4    channelwidth 4   |   -   | 20   0|  5   0| 16   1| 18   3| 13   3| 14   4|  9   4|
 414   1032   getbox   17   shiftbox    17    channelwidth 4    putbox17  channel58         |   -   | 17   2| 18   3| 19   4| 14   4|  9   4| 15   0|  5   0|
 426   1032   moveoutbox    4   channel    84   process 5    boxwidth 4    channelwidth 5   |   -   | 20   0| 10   0| 16   1| 18   3| 13   3| 14   4|  9   4|
 415   1040   moveoutbox    5   channel    58   process 6    boxwidth 0    channelwidth 4   |   -   |   -   | 17   2| 18   3| 19   4| 14   4|  9   4| 15   0|
 427   1040   moveoutbox    4   channel    23   process 5    boxwidth 4    channelwidth 4   |   -   |  4   4|  4   4|  0   0| 13   3| 19   4| 14   4|  9   4|
 416   1048   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel59         |   -   |  9   4| 15   0|  5   0| 17   2| 18   3| 19   4| 14   4|
 428   1048   getbox    0   shiftbox     0    channelwidth 4    putbox 0  channel 8         |   -   |   -   |  0   0| 13   3|  4   4| 14   4|  4   4| 10   0|
 417   1056   getbox   14   shiftbox    14    channelwidth 5    putbox14  channel59         |   -   | 14   4|  9   4| 15   0|  5   0| 17   2| 18   3| 19   4|
 429   1056   getbox   10   shiftbox    10    channelwidth 4    putbox10  channel 8         |   -   |   -   | 10   0|  0   0| 13   3|  4   4| 14   4|  4   4|
 418   1064   getbox   19   shiftbox    19    channelwidth 5    putbox19  channel59         |   -   | 19   4| 14   4|  9   4| 15   0|  5   0| 17   2| 18   3|
 430   1064   moveoutbox    4   channel     8   process 5    boxwidth 4    channelwidth 4   |   -   |   -   |   -   | 10   0|  0   0| 13   3|  4   4| 14   4|
 419   1072   getbox   18   shiftbox    18    channelwidth 5    putbox18  channel59         |   -   | 18   3| 19   4| 14   4|  9   4| 15   0|  5   0| 17   2|
 420   1080   getbox   17   shiftbox    17    channelwidth 5    putbox17  channel59         |   -   | 17   2| 18   3| 19   4| 14   4|  9   4| 15   0|  5   0|
 421   1088   moveoutbox    5   channel    59   process 6    boxwidth 0    channelwidth 5   |   -   |   -   | 17   2| 18   3| 19   4| 14   4|  9   4| 15   0|
 439   1096   getbox    9   shiftbox     9    channelwidth 4    putbox 9  channel63         |   -   |  9   4| 20   0|  5   0| 17   2| 18   3| 19   4| 14   4|
 451   1096   moveinbox    3   channel     8   process 1   boxwidth 3    channelwidth 4   |   -   |   -   |  3   3| 10   0|  0   0| 13   3|  4   4| 14   4|
 466   1096   moveoutbox    6   channel    15   process 9    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |  1   1| 10   0|  0   0| 11   1| 11   1|
 467   1096   moveoutbox    2   channel    56   process 5    boxwidth 2    channelwidth 2   |   -   | 15   0|  5   0| 17   2| 12   2|  7   2|  7   2|  2   2|
 469   1096   moveoutbox    3   channel    82   process 6    boxwidth 3    channelwidth 3   |   -   | 20   0|  5   0| 16   1| 18   3| 13   3|  8   3|  3   3|
 472   1096   moveoutbox    1   channel    25   process 4    boxwidth 1    channelwidth 1   |   -   | 15   0|  0   0| 11   1| 11   1|  6   1|  6   1|  1   1|
 473   1096   getbox   14   shiftbox    14    channelwidth 4    putbox14  channel 8         |   -   | 14   4|  3   3|  3   3| 10   0|  0   0| 13   3|  4   4|
 492   1096   moveinbox    4   channel    98   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |  4   4|  0   0| 10   0| 16   1|  4   4|  4   4|
 506   1096   moveoutbox   10   channel    95   process 3    boxwidth 0    channelwidth 1   |   -   |   -   |   -   |   -   |   -   |  6   1|  1   1| 20   0|
 509   1096   moveoutbox    9   channel    39   process 2    boxwidth 4    channelwidth 5   |   -   |  4   4| 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|
 440   1104   getbox   14   shiftbox    14    channelwidth 4    putbox14  channel63         |   -   | 14   4|  9   4| 20   0|  5   0| 17   2| 18   3| 19   4|
 452   1104   moveinbox    3   channel     2   process 1   boxwidth 3    channelwidth 3   |   -   |   -   |  3   3|  3   3| 10   0| 16   1| 18   3| 13   3|
 468   1104   moveoutbox    2   channel    61   process 5    boxwidth 2    channelwidth 2   |   -   | 20   0|  5   0| 17   2| 12   2|  7   2|  7   2|  2   2|
 470   1104   moveoutbox    3   channel    87   process 6    boxwidth 3    channelwidth 3   |   -   | 20   0| 10   0| 16   1| 18   3| 13   3|  8   3|  3   3|
 474   1104   moveoutbox    4   channel     8   process 7    boxwidth 4    channelwidth 4   |   -   |   -   | 14   4|  3   3|  3   3| 10   0|  0   0| 13   3|
 493   1104   moveinbox    4   channel    63   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4| 17   2| 18   3| 19   4| 14   4|  9   4| 20   0|
 507   1104   getbox   16   shiftbox    16    channelwidth 1    putbox16  channel85         |   -   |   -   | 16   1|  6   1|  1   1|  1   1| 20   0| 10   0|
 441   1112   getbox   19   shiftbox    19    channelwidth 4    putbox19  channel63         |   -   | 19   4| 14   4|  9   4| 20   0|  5   0| 17   2| 18   3|
 453   1112   moveinbox    3   channel    22   process 1   boxwidth 3    channelwidth 3   |   -   |  3   3|  0   0| 12   2| 13   3|  8   3|  8   3|  3   3|
 471   1112   moveoutbox    3   channel     7   process 6    boxwidth 3    channelwidth 3   |   -   |   -   | 10   0| 16   1| 18   3| 13   3|  8   3|  8   3|
 475   1112   getbox    0   shiftbox     0    channelwidth 5    putbox 0  channel 9         |   -   |  0   0|  3   3| 13   3| 14   4|  9   4|  4   4| 10   0|
 494   1112   moveinbox    4   channel    64   process 1   boxwidth 4    channelwidth 5   |   -   |  4   4| 17   2| 18   3| 19   4| 14   4|  9   4| 20   0|
 508   1112   moveoutbox   10   channel    85   process 3    boxwidth 0    channelwidth 1   |   -   |   -   |   -   | 16   1|  6   1|  1   1|  1   1| 20   0|
 442   1120   getbox   18   shiftbox    18    channelwidth 4    putbox18  channel63         |   -   | 18   3| 19   4| 14   4|  9   4| 20   0|  5   0| 17   2|
 454   1120   moveinbox    3   channel    27   process 1   boxwidth 3    channelwidth 3   |   -   |  3   3|  0   0| 17   2| 13   3|  8   3|  8   3|  3   3|
 476   1120   getbox   10   shiftbox    10    channelwidth 5    putbox10  channel 9         |   -   | 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|  4   4|
 495   1120   moveinbox    4   channel     8   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4| 14   4|  3   3|  3   3| 10   0|  0   0| 13   3|
 443   1128   getbox   17   shiftbox    17    channelwidth 4    putbox17  channel63         |   -   | 17   2| 18   3| 19   4| 14   4|  9   4| 20   0|  5   0|
 455   1128   moveinbox    3   channel    92   process 1   boxwidth 3    channelwidth 3   |   -   |  3   3| 12   2| 12   2| 12   2| 16   1|  8   3|  3   3|
 477   1128   moveoutbox    4   channel     9   process 7    boxwidth 4    channelwidth 5   |   -   |   -   | 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|
 496   1128   moveinbox    4   channel     9   process 1   boxwidth 4    channelwidth 5   |   -   |  4   4| 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|
 444   1136   moveoutbox    5   channel    63   process 8    boxwidth 0    channelwidth 4   |   -   |   -   | 17   2| 18   3| 19   4| 14   4|  9   4| 20   0|
 456   1136   moveinbox    3   channel    97   process 1   boxwidth 3    channelwidth 3   |   -   |  3   3|  3   3| 20   0| 10   0| 16   1| 18   3| 13   3|
 478   1136   getbox    0   shiftbox     0    channelwidth 4    putbox 0  channel13         |   -   |  0   0|  3   3| 13   3| 14   4|  9   4|  4   4| 10   0|
 497   1136   moveinbox    4   channel    13   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4| 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|
 445   1144   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel64         |   -   |  9   4| 20   0|  5   0| 17   2| 18   3| 19   4| 14   4|
 457   1144   moveinbox    3   channel     9   process 1   boxwidth 3    channelwidth 5   |   -   |  3   3| 13   3| 14   4|  9   4|  4   4| 10   0|  0   0|
 479   1144   getbox   10   shiftbox    10    channelwidth 4    putbox10  channel13         |   -   | 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|  4   4|
 498   1144   moveinbox    4   channel    14   process 1   boxwidth 4    channelwidth 5   |   -   |  4   4| 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|
 446   1152   getbox   14   shiftbox    14    channelwidth 5    putbox14  channel64         |   -   | 14   4|  9   4| 20   0|  5   0| 17   2| 18   3| 19   4|
 458   1152   moveinbox    3   channel    13   process 1   boxwidth 3    channelwidth 4   |   -   |  3   3| 13   3| 14   4|  9   4|  4   4| 10   0|  0   0|
 480   1152   moveoutbox    4   channel    13   process 7    boxwidth 4    channelwidth 4   |   -   |   -   | 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|
 499   1152   moveinbox    4   channel    18   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4| 10   0|  0   0|  3   3| 13   3| 19   4|  9   4|
 447   1160   getbox   19   shiftbox    19    channelwidth 5    putbox19  channel64         |   -   | 19   4| 14   4|  9   4| 20   0|  5   0| 17   2| 18   3|
 459   1160   moveinbox    3   channel    14   process 1   boxwidth 3    channelwidth 5   |   -   |  3   3| 13   3| 14   4|  9   4|  4   4| 10   0|  0   0|
 481   1160   getbox    0   shiftbox     0    channelwidth 5    putbox 0  channel14         |   -   |  0   0|  3   3| 13   3| 14   4|  9   4|  4   4| 10   0|
 500   1160   moveinbox    4   channel    98   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4|  4   4|  0   0| 10   0| 16   1|  4   4|  4   4|
 448   1168   getbox   18   shiftbox    18    channelwidth 5    putbox18  channel64         |   -   | 18   3| 19   4| 14   4|  9   4| 20   0|  5   0| 17   2|
 460   1168   moveinbox    3   channel    18   process 1   boxwidth 3    channelwidth 4   |   -   |  3   3| 13   3| 19   4|  9   4|  4   4| 10   0|  0   0|
 482   1168   getbox   10   shiftbox    10    channelwidth 5    putbox10  channel14         |   -   | 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|  4   4|
 501   1168   moveinbox    4   channel    94   process 1   boxwidth 4    channelwidth 5   |  4   4|  4   4|  4   4| 20   0| 10   0| 16   1| 18   3| 13   3|
 449   1176   getbox   17   shiftbox    17    channelwidth 5    putbox17  channel64         |   -   | 17   2| 18   3| 19   4| 14   4|  9   4| 20   0|  5   0|
 461   1176   moveinbox    3   channel    33   process 1   boxwidth 3    channelwidth 4   |   -   |  3   3| 13   3| 19   4| 19   4| 14   4| 15   0|  0   0|
 483   1176   moveoutbox    4   channel    14   process 7    boxwidth 4    channelwidth 5   |   -   |   -   | 10   0|  0   0|  3   3| 13   3| 14   4|  9   4|
 502   1176   moveinbox    4   channel    99   process 1   boxwidth 4    channelwidth 5   |  4   4|  4   4|  9   4|  0   0| 10   0| 16   1| 18   3| 13   3|
 450   1184   moveoutbox    5   channel    64   process 8    boxwidth 0    channelwidth 5   |   -   |   -   | 17   2| 18   3| 19   4| 14   4|  9   4| 20   0|
 462   1184   moveinbox    3   channel    58   process 1   boxwidth 3    channelwidth 4   |   -   |  3   3| 17   2| 18   3| 19   4| 14   4|  9   4| 15   0|
 484   1184   getbox    0   shiftbox     0    channelwidth 4    putbox 0  channel18         |   -   |  0   0|  3   3| 13   3| 19   4|  9   4|  4   4| 10   0|
 503   1184   moveinbox    4   channel     3   process 1   boxwidth 4    channelwidth 4   |  4   4|  4   4| 14   4|  4   4| 10   0| 16   1| 18   3| 13   3|
 463   1192   moveinbox    3   channel    59   process 1   boxwidth 3    channelwidth 5   |   -   |  3   3| 17   2| 18   3| 19   4| 14   4|  9   4| 15   0|
 485   1192   getbox   10   shiftbox    10    channelwidth 4    putbox10  channel18         |   -   | 10   0|  0   0|  3   3| 13   3| 19   4|  9   4|  4   4|
 504   1192   moveinbox    4   channel     4   process 1   boxwidth 4    channelwidth 5   |  4   4| 14   4|  9   4|  4   4| 10   0| 16   1| 18   3| 13   3|
 464   1200   moveinbox    3   channel     8   process 1   boxwidth 3    channelwidth 4   |   -   |  3   3|  3   3| 10   0|  0   0| 13   3|  4   4| 14   4|
 486   1200   moveoutbox    4   channel    18   process 7    boxwidth 4    channelwidth 4   |   -   |   -   | 10   0|  0   0|  3   3| 13   3| 19   4|  9   4|
 505   1200   moveinbox    4   channel    39   process 1   boxwidth 4    channelwidth 5   |  4   4| 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
 465   1208   moveinbox    3   channel     2   process 1   boxwidth 3    channelwidth 3   |   -   |  3   3|  3   3|  3   3| 10   0| 16   1| 18   3| 13   3|
 487   1208   getbox   16   shiftbox    16    channelwidth 4    putbox16  channel98         |   -   | 16   1|  4   4|  4   4|  4   4|  4   4|  0   0| 10   0|
 488   1216   getbox   10   shiftbox    10    channelwidth 4    putbox10  channel98         |   -   | 10   0| 16   1|  4   4|  4   4|  4   4|  4   4|  0   0|
 489   1224   getbox    0   shiftbox     0    channelwidth 4    putbox 0  channel98         |   -   |  0   0| 10   0| 16   1|  4   4|  4   4|  4   4|  4   4|
 490   1232   moveoutbox    4   channel    98   process 7    boxwidth 4    channelwidth 4   |   -   |   -   |  0   0| 10   0| 16   1|  4   4|  4   4|  4   4|
 491   1240   moveoutbox    4   channel    98   process 7    boxwidth 4    channelwidth 4   |   -   |   -   |   -   |  0   0| 10   0| 16   1|  4   4|  4   4|
 510   1248   moveoutbox    9   channel    43   process 4    boxwidth 4    channelwidth 4   |   -   |   -   | 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|
 511   1248   moveoutbox    3   channel    12   process 8    boxwidth 3    channelwidth 3   |   -   |   -   | 10   0|  0   0| 12   2| 13   3|  8   3|  8   3|
 514   1248   moveoutbox    4   channel    98   process 9    boxwidth 4    channelwidth 4   |   -   |   -   |  4   4|  4   4|  0   0| 10   0| 16   1|  4   4|
 527   1248   moveoutbox    7   channel    26   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  2   2| 15   0|  0   0| 17   2| 12   2|
 528   1248   moveoutbox    1   channel    30   process 6    boxwidth 1    channelwidth 1   |   -   | 15   0|  0   0| 11   1| 11   1|  6   1|  6   1|  1   1|
 529   1248   moveoutbox    2   channel    66   process 7    boxwidth 2    channelwidth 2   |   -   | 20   0|  5   0| 17   2| 12   2|  7   2|  7   2|  2   2|
 531   1248   moveinbox    2   channel    93   process 1   boxwidth 2    channelwidth 4   |   -   |   -   |   -   |   -   |  2   2| 20   0| 10   0| 16   1|
 545   1248   getbox   16   shiftbox    16    channelwidth 1    putbox16  channel 0         |   -   |   -   |   -   | 16   1|  6   1|  6   1|  1   1| 10   0|
 549   1248   moveoutbox   20   channel    80   process 1    boxwidth 0    channelwidth 1   |   -   |   -   |   -   | 16   1| 11   1|  6   1|  1   1|  1   1|
 550   1248   moveoutbox    8   channel     7   process 3    boxwidth 3    channelwidth 3   |   -   |   -   |   -   | 10   0| 16   1| 18   3| 13   3|  8   3|
 512   1256   moveoutbox    3   channel    47   process 8    boxwidth 3    channelwidth 3   |   -   |   -   | 12   2| 17   2| 18   3|  8   3|  8   3|  3   3|
